symbol	alias
ACSM2A	ACSM2
ACSM2B	HXMA
ACSM2B	HYST1046
ACSM2B	ACSM2
ACSM3	SA
ACSM3	SAH
ACSM5	FLJ20581
ACSM6	bA310E22.3
ACSM6	C10orf129
ACSS1	dJ568C11.3
ACSS1	AceCS2L
ACSS1	MGC33843
ACSS1	ACAS2L
ACSS2	ACS
ACSS2	ACSA
ACSS2	AceCS
ACSS2	dJ1161H23.1
ACSS2	ACAS2
ACSS3	FLJ21963
ACTA1	NEM3
ACTA1	ACTA
ACTA2	ACTSA
ACTBL2	DKFZp686D0972
ACTC1	CMD1R
ACTC1	ACTC
ACTG1	ACTG
ACTG1	DFNA20
ACTG1	DFNA26
ACTG2	ACTSG
ACTG2	ACTL3
ACTG2	ACTA3
ACTL6A	Actl6
ACTL6A	BAF53A
ACTL6A	Arp4
ACTL6A	Baf53a
ACTL6A	INO80K
ACTL6A	SMARCN1
ACTL6B	BAF53B
ACTL6B	SMARCN2
ACTL6B	ACTL6
ACTL7B	Tact1
ACTL8	CT57
ACTL9	MGC33407
ACTL10	C20orf134
ACTMAP	FLJ41131
ACTMAP	C19orf54
ACTN4	FSGS1
ACTR1A	ARP1
ACTR1A	Arp1A
ACTR1B	Arp1B
ACTR1B	CTRN2
ACTR2	ARP2
ACTR3	ARP3
ACTR3B	ARP11
ACTR3B	ARP3beta
ACTR3C	ARP11
ACTR5	FLJ12785
ACTR5	Arp5
ACTR5	INO80M
ACTR6	ARP6
ACTR6	FLJ13433
ACTR8	INO80N
ACTR8	ARP8
ACTR10	HARP11
ACTR10	ACTR11
ACTR10	Arp11
ACTR10	Arp10
ACTRT1	AIP1
ACTRT1	KIAA0705
ACTRT1	ARIP1
ACTRT1	Arp-T1
ACTRT2	Arp-T2
ACTRT2	ARPM2
ACTRT2	FLJ25424
ACTRT3	ARPM1
ACVR1	SKR1
ACVR1	ALK2
ACVR1	ACVR1A
ACVR1	ACVRLK2
ACVR1B	ALK4
ACVR1B	SKR2
ACVR1B	ActRIB
ACVR1B	ACVRLK4
ACVR1C	ALK7
ACVR1C	ACVRLK7
ACVR2A	ACTRII
ACVR2A	ACVR2
ACVR2B	ActR-IIB
ACVRL1	HHT2
ACVRL1	ALK1
ACVRL1	HHT
ACVRL1	ACVRLK1
ACVRL1	ORW2
ACY3	HCBP1
ACY3	MGC9740
ACY3	ACY-3
ACY3	ASPA2
ADA	ADA1
ADA2	ADGF
ADA2	IDGFL
ADA2	CECR1
ADAD1	Tenr
ADAD2	TENRL
ADAD2	FLJ00337
ADAM2	PH-30b
ADAM2	PH30
ADAM2	CT15
ADAM2	FTNB
ADAM7	GP-83
ADAM7	EAPI
ADAM8	CD156
ADAM8	MS2
ADAM8	CD156A
ADAM9	MDC9
ADAM9	KIAA0021
ADAM9	MCMP
ADAM9	Mltng
ADAM9	CORD9
ADAM10	kuz
ADAM10	MADM
ADAM10	HsT18717
ADAM10	CD156C
ADAM11	MDC
ADAM12	MCMPMltna
ADAM12	MLTN
ADAM15	MDC15
ADAM17	cSVP
ADAM17	CD156B
ADAM17	TACE
ADAM18	tMDCIII
ADAM18	ADAM27
ADAM19	MLTNB
ADAM21	ADAM31
ADAM22	MDC2
ADAM23	MDC3
ADAM28	eMDCII
ADAM28	MDC-Lm
ADAM28	MDC-Ls
ADAM28	ADAM23
ADAM29	svph1
ADAM29	CT73
ADAM30	svph4
ADAM33	DKFZp434K0521
ADAM33	dJ964F7.1
ADAM33	C20orf153
ADAMDEC1	M12.219
ADAMTS1	C3-C5
ADAMTS1	METH1
ADAMTS1	KIAA1346
ADAMTS2	ADAMTS-3
ADAMTS2	hPCPNI
ADAMTS2	PCINP
ADAMTS2	ADAM-TS2
ADAMTS2	NPI
ADAMTS3	KIAA0366
ADAMTS3	ADAMTS-4
ADAMTS4	KIAA0688
ADAMTS4	ADAMTS-2
ADAMTS4	ADMP-1
ADAMTS5	ADMP-2
ADAMTS5	ADAMTS11
ADAMTS6	ADAM-TS6
ADAMTS7	ADAM-TS7
ADAMTS7	DKFZp434H204
ADAMTS8	METH2
ADAMTS8	FLJ41712
ADAMTS8	ADAM-TS8
ADAMTS9	KIAA1312
ADAMTS10	ADAM-TS10
ADAMTS13	VWFCP
ADAMTS13	TTP
ADAMTS13	vWF-CP
ADAMTS13	FLJ42993
ADAMTS13	MGC118899
ADAMTS13	MGC118900
ADAMTS13	DKFZp434C2322
ADAMTS13	C9orf8
ADAMTS16	ADAMTS16s
ADAMTS17	FLJ32769
ADAMTS17	FLJ16363
ADAMTS18	ADAMTS21
ADAMTS20	GON-1
ADAMTSL1	ADAMTSR1
ADAMTSL1	FLJ35283
ADAMTSL1	C9orf94
ADAMTSL2	KIAA0605
ADAMTSL3	KIAA1233
ADAMTSL3	punctin-2
ADAMTSL4	DKFZP434K1772
ADAMTSL4	TSRC1
ADAMTSL5	THSD6
ADAP1	GCS1L
ADAP1	CENTA1
ADAP2	CENTA2
ADAR	ADAR1
ADAR	DRADA
ADAR	IFI4
ADAR	G1P1
ADARB1	ADAR2
ADARB1	DRADA2
ADARB1	ADAR2g
ADARB1	DRABA2
ADARB1	RED1
ADARB1	hRED1
ADARB1	ADAR2a-L1
ADARB1	ADAR2a-L2
ADARB1	ADAR2a-L3
ADARB1	ADAR2a
ADARB1	ADAR2b
ADARB1	ADAR2c
ADARB1	ADAR2d
ADARB2	RED2
ADARB2	hRED2
ADARB2	ADAR3
ADAT2	dJ20N2.1
ADAT2	TAD2
ADAT2	DEADC1
ADAT3	TAD3
ADCK1	FLJ39600
ADCK2	MGC20727
ADCK5	FLJ35454
ADCY1	AC1
ADCY1	DFNB44
ADCY2	HBAC2
ADCY2	KIAA1060
ADCY2	AC2
ADCY3	AC3
ADCY4	AC4
ADCY5	AC5
ADCY6	AC6
ADCY7	KIAA0037
ADCY7	AC7
ADCY8	HBAC1
ADCY8	AC8
ADCY8	ADCY3
ADCY9	AC9
ADCY10	SAC
ADCY10	Sacy
ADCY10	SACI
ADCY10	HCA2
ADCY10	RP1-313L4.2
ADCYAP1	PACAP
ADCYAP1R1	PAC1
ADCYAP1R1	PACAPR
ADCYAP1R1	PAC1R
ADD2	ADDB
ADD3	ADDL
ADGB	FLJ23121
ADGB	dJ408K24.1
ADGB	CAPN16
ADGB	C6orf103
ADGRA1	KIAA1828
ADGRA1	GPR123
ADGRA2	TEM5
ADGRA2	DKFZp434C211
ADGRA2	DKFZp434J0911
ADGRA2	KIAA1531
ADGRA2	FLJ14390
ADGRA2	GPR124
ADGRA3	FLJ38547
ADGRA3	PGR21
ADGRA3	GPR125
ADGRB1	BAI1
ADGRB2	BAI2
ADGRB3	KIAA0550
ADGRB3	BAI3
ADGRD1	DKFZp434B1272
ADGRD1	PGR25
ADGRD1	GPR133
ADGRD2	PGR24
ADGRD2	GPR144
ADGRE1	TM7LN3
ADGRE1	EMR1
ADGRE2	CD312
ADGRE2	EMR2
ADGRE3	EMR3
ADGRE5	TM7LN1
ADGRE5	CD97
ADGRF1	hGPCR36
ADGRF1	PGR19
ADGRF1	GPR110
ADGRF3	hGPCR37
ADGRF3	PGR23
ADGRF3	GPR113
ADGRF4	FLJ38076
ADGRF4	PGR18
ADGRF4	GPR115
ADGRF5	DKFZp564O1923
ADGRF5	KIAA0758
ADGRF5	GPR116
ADGRG1	TM7LN4
ADGRG1	TM7XN1
ADGRG1	GPR56
ADGRG2	HE6
ADGRG2	TM7LN2
ADGRG2	EDDM6
ADGRG2	GPR64
ADGRG3	Pb99
ADGRG3	PGR26
ADGRG3	GPR97
ADGRG4	RP1-299I16
ADGRG4	PGR17
ADGRG4	GPR112
ADGRG5	PGR27
ADGRG5	GPR114
ADGRG6	FLJ14937
ADGRG6	GPR126
ADGRG7	FLJ14454
ADGRG7	GPR128
ADGRL1	KIAA0821
ADGRL1	CIRL1
ADGRL1	LEC2
ADGRL1	LPHN1
ADGRL2	KIAA0786
ADGRL2	LEC1
ADGRL2	CIRL2
ADGRL2	LPHH1
ADGRL2	LPHN2
ADGRL3	KIAA0768
ADGRL3	LEC3
ADGRL3	LPHN3
ADGRL4	ETL
ADGRL4	ELTD1
ADGRV1	DKFZp761P0710
ADGRV1	KIAA0686
ADGRV1	FEB4
ADGRV1	VLGR1
ADGRV1	USH2C
ADGRV1	MASS1
ADGRV1	GPR98
ADH1A	ADH1
ADH1B	ADH2
ADH1C	ADH3
ADH4	ADH-2
ADH5	ADH-3
ADH5	ADHX
ADH5	GSNOR
ADH5	FDH
ADH6	ADH-5
ADH7	ADH-4
ADHFE1	FLJ32430
ADI1	SIPL
ADI1	MTCBP-1
ADI1	ARD
ADI1	APL1
ADI1	FLJ10913
ADI1	HMFT1638
ADI1	mtnD
ADIG	MGC39724
ADIG	SMAF1
ADIG	RP5-1100H13.2
ADIPOQ	ACRP30
ADIPOQ	apM1
ADIPOQ	GBP28
ADIPOQ	adiponectin
ADIPOQ	ACDC
ADIPOR1	PAQR1
ADIPOR1	ACDCR1
ADIPOR2	PAQR2
ADIPOR2	ACDCR2
ADIRF	APM2
ADIRF	AFRO
ADIRF	C10orf116
ADISSP	FLJ20550
ADISSP	C20orf27
ADK	AK
ADM	AM
ADM2	AM2
ADM2	FLJ21135
ADM5	AM5
ADM5	C19orf76
ADNP	KIAA0784
ADNP	ADNP1
ADNP2	KIAA0863
ADNP2	ZNF508
ADO	FLJ14547
ADO	C10orf22
ADORA1	RDC7
ADORA2A	RDC8
ADORA2A	ADORA2
ADORA3	AD026
ADORA3	A3AR
ADPGK	DKFZp434B195
ADPGK	ADP-GK
ADPRH	ARH1
ADPRHL1	ARH2
ADPRM	MDS006
ADPRM	C17orf48
ADPRS	ARH3
ADPRS	FLJ20446
ADPRS	ADPRHL2
ADRA1A	ADRA1L1
ADRA1A	ADRA1C
ADRA1D	ADRA1R
ADRA1D	ADRA1A
ADRA1D	ADRA1
ADRA2A	ADRAR
ADRA2A	ADRA2
ADRA2A	ADRA2R
ADRA2B	ADRARL1
ADRA2B	ADRA2L1
ADRA2B	ADRA2RL1
ADRA2C	ADRARL2
ADRA2C	ADRA2L2
ADRA2C	ADRA2RL2
ADRB1	ADRB1R
ADRB2	ADRBR
ADRB2	BAR
ADRB2	B2AR
ADRB2	ARB2
ADRB2	ADRB2R
ADRM1	GP110
ADRM1	Rpn13
ADRM1	ARM1
ADRM1	PSMD16
ADSS1	FLJ38602
ADSS1	ADSSL1
ADSS2	ADSS
ADTRP	dJ413H6.1
ADTRP	AIG1L
ADTRP	C6orf105
AEBP1	ACLP
AEBP2	MGC17922
AEN	FLJ12484
AEN	FLJ12562
AEN	ISG20L1
AFAP1	AFAP-110
AFAP1	AFAP
AFAP1L1	FLJ36748
AFAP1L2	FLJ14564
AFAP1L2	Em:AC005383.4
AFAP1L2	XB130
AFAP1L2	KIAA1914
AFDN	AF-6
AFDN	AF6
AFDN	MLLT4
AFF1	AF-4
AFF1	AF4
AFF1	FEL
AFF1	PBM1
AFF1	MLLT2
AFF2	FRAXE
AFF2	FMR2
AFF3	MLLT2-like
AFF3	LAF4
AFF4	AF5Q31
AFF4	MCEF
AFG1L	AFG1
AFG1L	LACE1
AFG2A	SPAF
AFG2A	AFG2
AFG2A	SPATA5
AFG2B	MGC5347
AFG2B	FLJ12286
AFG2B	SPATA5L1
AFG3L2	SPAX5
AFG3L2	SCA28
AFM	ALB2
AFM	ALBA
AFMID	DKFZp686F03259
AFMID	KF
AFP	FETA
AFP	HPAFP
AFTPH	MGC33965
AFTPH	FLJ20080
AFTPH	FLJ23793
AFTPH	Nbla10388
AGA	ASRG
AGAP1	KIAA1099
AGAP1	GGAP1
AGAP1	CENTG2
AGAP2	CENTG1
AGAP3	CENTG3
AGAP4	Em:AC012044.1
AGAP4	MRIP2
AGAP4	CTGLF1
AGAP4	AGAP8
AGAP4	CTGLF5
AGAP5	Em:AC073389.1
AGAP5	CTGLF2
AGAP6	bA324H6.1
AGAP6	CTGLF3
AGAP9	bA301J7.2
AGAP9	FLJ00312
AGAP9	CTGLF6
AGBL1	FLJ32310
AGBL1	CCP4
AGBL2	FLJ23598
AGBL2	CCP2
AGBL3	MGC32955
AGBL3	CCP3
AGBL4	FLJ14442
AGBL4	CCP6
AGBL5	FLJ21839
AGBL5	CCP5
AGER	RAGE
AGER	SCARJ1
AGER	sRAGE
AGFG1	RIP
AGFG1	RAB
AGFG1	HRB
AGFG2	RABR
AGFG2	HRBL
AGGF1	VG5Q
AGGF1	HSU84971
AGGF1	FLJ10283
AGGF1	GPATC7
AGGF1	GPATCH7
AGK	FLJ10842
AGK	MULK
AGL	GDE
AGMAT	FLJ23384
AGMO	FLJ16237
AGMO	TMEM195
AGO1	hAGO1
AGO1	EIF2C1
AGO2	hAGO2
AGO2	Q10
AGO2	LINC00980
AGO2	EIF2C2
AGO2	CASC7
AGO3	hAGO3
AGO3	FLJ12765
AGO3	EIF2C3
AGO4	hAGO4
AGO4	KIAA1567
AGO4	FLJ20033
AGO4	EIF2C4
AGPAT1	LPAAT-alpha
AGPAT1	LPLAT1
AGPAT2	LPAAT-beta
AGPAT2	LPLAT2
AGPAT2	BSCL
AGPAT3	LPAAT-gamma
AGPAT3	LPAAT3
AGPAT3	LPLAT3
AGPAT4	LPAAT-delta
AGPAT4	dJ473J16.2
AGPAT4	LPAAT4
AGPAT4	LPLAT4
AGPAT5	FLJ11210
AGPAT5	LPAAT-e
AGPAT5	LPAAT-epsilon
AGPAT5	LPLAT5
AGPS	ADHAPS
AGPS	ADAS
AGPS	ALDHPSY
AGPS	ADPS
AGPS	ADAP-S
AGR2	XAG-2
AGR2	HAG-2
AGR2	AG2
AGR2	PDIA17
AGR3	HAG3
AGR3	hAG-3
AGR3	BCMP11
AGR3	PDIA18
AGRN	AGRIN
AGRP	Agrt
AGRP	ART
AGRP	ASIP2
AGT	SERPINA8
AGTPBP1	KIAA1035
AGTPBP1	Nna1
AGTPBP1	CCP1
AGTR1	AT1
AGTR1	AT2R1
AGTR1	AGTR1A
AGTR1	AT2R1A
AGTR1	HAT1R
AGTR1	AG2S
AGTR1	AT2R1B
AGTR1	AT1B
AGTR1	ATR1
AGTR1	AGTR1B
AGTR2	AT2
AGTR2	MRX88
AGTRAP	ATRAP
AGXT	AGXT1
AGXT	PH1
AGXT	AGT
AGXT	SPT
AGXT	AGT1
AGXT	TLH6
AGXT	Ser-PyrAT
AGXT	SPAT
AGXT2	AGT2
AHCTF1	ELYS
AHCY	SAHH
AHCY	AdoHcyase
AHCYL1	XPVKONA
AHCYL1	IRBIT
AHCYL1	PPP1R78
AHCYL2	KIAA0828
AHCYL2	long-IRBIT
AHCYL2	IRBIT2
AHCYL2	ADOHCYASE3
AHDC1	DJ159A19.3
AHDC1	RP1-159A19.1
AHI1	FLJ20069
AHI1	ORF1
AHI1	JBTS3
AHNAK	MGC5395
AHNAK	AHNAK1
AHNAK2	C14orf78
AHR	bHLHe76
AHRR	KIAA1234
AHRR	bHLHe77
AHRR	AHH
AHRR	AHHR
AHSA1	p38
AHSA1	Aha1
AHSA1	hAha1
AHSA1	C14orf3
AHSG	FETUA
AHSG	A2HS
AHSG	HSGA
AHSP	EDRF
AHSP	ERAF
AICDA	HIGM2
AICDA	CDA2
AICDA	ARP2
AICDA	AID
AIDA	FLJ12806
AIDA	C1orf80
AIF1	IRT-1
AIF1	AIF-1
AIF1	Em:AF129756.17
AIF1	IBA1
AIF1L	IBA2
AIF1L	FLJ12783
AIF1L	C9orf58
AIFM1	AIF
AIFM1	CMTX4
AIFM1	DFNX5
AIFM1	PDCD8
AIFM1	NAMSD
AIFM1	AUNX1
